emp_no,first_name,last_name,title,from_date,to_date,hire_date,birth_date
54430,Kaijung,Pezzoli,Senior Staff,2000-07-13,9999-01-01,1985-05-30,1955-06-08
54443,Gro,Grabner,Senior Staff,1992-10-16,9999-01-01,1985-10-16,1954-11-21
54452,Jacqueline,Bratten,Senior Staff,1994-10-26,9999-01-01,1985-08-23,1955-10-14
54465,Torsten,Bresenham,Senior Staff,1994-10-08,9999-01-01,1985-10-08,1953-07-28
54471,Kotesh,Schiettecatte,Senior Engineer,2001-07-30,9999-01-01,1985-10-16,1953-09-15
54517,Jongsuk,Liesche,Engineer,1999-01-01,9999-01-01,1985-02-15,1954-08-21
54536,Ennio,Hanratty,Senior Engineer,1999-06-28,9999-01-01,1985-03-15,1953-08-16
54548,Gadiel,Crouzet,Senior Engineer,1999-06-18,9999-01-01,1985-11-12,1954-08-29
54550,Rajmohan,Marciano,Senior Staff,1991-05-24,9999-01-01,1985-05-24,1955-11-18
54560,JiYoung,Peck,Senior Engineer,1990-03-07,9999-01-01,1985-02-28,1952-09-17
54648,Denny,Setiz,Senior Engineer,1992-02-19,9999-01-01,1985-02-18,1955-01-06
54772,Khedija,Krohn,Senior Engineer,1994-12-30,9999-01-01,1985-12-30,1953-06-08
54855,Gian,Gulla,Senior Engineer,1985-08-29,9999-01-01,1985-08-29,1954-01-26
54892,Sandeepan,Goldhammer,Senior Engineer,1992-07-26,9999-01-01,1985-07-26,1954-01-21
54924,Mayumi,Krupka,Senior Staff,1990-05-09,9999-01-01,1985-05-09,1954-03-26
54950,Yuriy,Anick,Senior Engineer,1990-04-21,9999-01-01,1985-04-21,1953-06-17
54961,Nechama,Spelt,Senior Engineer,1996-05-25,9999-01-01,1985-08-26,1954-04-10
55069,Ewing,Schreiter,Senior Staff,1998-05-01,9999-01-01,1985-02-10,1953-03-31
55281,Mohammad,Ellozy,Senior Engineer,1992-03-25,9999-01-01,1985-03-25,1954-09-19
55345,Wojceich,Vendrig,Senior Staff,1993-07-10,9999-01-01,1985-04-15,1955-06-29
55375,Houman,Caine,Senior Staff,1993-02-07,9999-01-01,1985-02-07,1955-05-13
55382,Ziya,Shihab,Engineer,1995-06-04,9999-01-01,1985-07-11,1954-03-31
55407,Gopalakrishnan,Birta,Technique Leader,1996-11-27,9999-01-01,1985-10-31,1954-06-15
55409,Sverrir,Borstler,Senior Staff,1993-06-03,9999-01-01,1985-06-03,1955-02-07
55422,Mahendra,Kranzdorf,Senior Engineer,1993-09-30,9999-01-01,1985-02-13,1953-05-30
55444,Martins,Gyorkos,Senior Staff,1990-09-03,9999-01-01,1985-09-03,1955-03-29
55472,Gudjon,Birta,Senior Staff,1993-07-16,9999-01-01,1985-05-07,1953-05-21
55479,Serap,Erva,Senior Engineer,2001-08-16,9999-01-01,1985-10-10,1954-07-10
55498,Filipe,Heusch,Senior Engineer,1996-08-08,9999-01-01,1985-10-18,1953-05-14
55505,Kristen,Fabrizio,Technique Leader,1985-04-04,9999-01-01,1985-04-04,1954-06-28
55592,Alexius,Karcich,Senior Staff,1991-02-11,9999-01-01,1985-02-11,1954-08-22
55637,Szabolcs,Erde,Senior Engineer,2002-01-23,9999-01-01,1985-07-09,1954-10-09
55665,Mantis,Maginnis,Senior Engineer,1985-09-07,9999-01-01,1985-09-07,1955-05-07
55669,Shounak,Saoudi,Senior Engineer,1990-03-03,9999-01-01,1985-03-03,1953-08-24
55711,Uzi,Mamelak,Senior Engineer,1992-02-17,9999-01-01,1985-02-16,1953-01-27
55851,Guadalupe,Velardi,Senior Engineer,1994-03-01,9999-01-01,1985-03-01,1954-08-29
56010,Noritoshi,Nyanchama,Senior Engineer,1994-06-30,9999-01-01,1985-12-22,1953-12-25
56020,Alagu,Byoun,Senior Engineer,1993-09-05,9999-01-01,1985-09-05,1955-05-15
56136,Ramya,Buchter,Senior Staff,2000-04-02,9999-01-01,1985-05-12,1953-09-25
56159,Zengping,Shumilov,Assistant Engineer,1994-03-22,9999-01-01,1985-02-27,1955-02-28
56163,Huiqun,Thisen,Senior Engineer,2001-02-12,9999-01-01,1985-02-12,1955-09-29
56177,Yucel,Colorni,Senior Engineer,1990-11-28,9999-01-01,1985-11-28,1955-04-15
56300,Serge,Zobel,Senior Engineer,1994-10-17,9999-01-01,1985-06-06,1955-07-19
56325,Subir,Gniady,Senior Engineer,1985-12-02,9999-01-01,1985-12-02,1955-06-20
56326,Mantis,Juneja,Engineer,1999-07-09,9999-01-01,1985-12-02,1953-10-27
56350,Boguslaw,Ariola,Senior Staff,1993-12-04,9999-01-01,1985-12-04,1954-11-05
56364,Zdislav,Bakhtari,Senior Staff,1990-09-27,9999-01-01,1985-10-31,1952-08-27
56382,Valery,Bardell,Staff,1994-12-28,9999-01-01,1985-12-13,1952-05-06
56389,Ronghao,Ghandeharizadeh,Senior Engineer,2001-08-05,9999-01-01,1985-10-15,1952-04-01
56400,Froduald,Munke,Senior Engineer,1997-06-01,9999-01-01,1985-09-29,1955-12-16
56430,Tesuya,Klassen,Senior Staff,1985-11-08,9999-01-01,1985-11-08,1955-09-03
56463,Maja,Staudhammer,Technique Leader,1997-06-03,9999-01-01,1985-08-05,1954-01-28
56468,Zsolt,Haldar,Senior Engineer,1992-12-30,9999-01-01,1985-12-30,1955-02-22
56488,Tze,Cherinka,Senior Staff,1996-03-29,9999-01-01,1985-09-28,1955-05-25
56510,Radhakrishnan,Brattka,Senior Engineer,1994-09-01,9999-01-01,1985-09-01,1955-04-12
56528,Uinam,Heijenga,Senior Engineer,1991-07-20,9999-01-01,1985-07-20,1954-07-15
56531,Quingbo,Renear,Senior Engineer,1990-05-06,9999-01-01,1985-05-06,1955-12-28
56581,Zhenbing,Cappello,Senior Staff,1994-05-16,9999-01-01,1985-05-16,1955-09-14
56588,Denny,Karcich,Staff,1997-12-14,9999-01-01,1985-05-12,1954-02-15
56589,Martial,Goldhammer,Senior Staff,1989-04-26,9999-01-01,1985-11-23,1952-08-27
56601,Feixiong,Mattern,Senior Engineer,1991-06-15,9999-01-01,1985-06-15,1952-03-05
56608,Denny,Trachtenberg,Senior Staff,1985-07-16,9999-01-01,1985-07-16,1953-10-13
56701,KayLiang,Kobuchi,Senior Staff,1991-03-20,9999-01-01,1985-03-20,1952-10-21
56715,Rasiah,Gurbaxani,Senior Engineer,1992-06-02,9999-01-01,1985-06-02,1955-12-02
56808,Yuriy,Anick,Senior Staff,2002-07-08,9999-01-01,1985-07-23,1952-04-30
56862,Ymte,Thimonier,Senior Staff,1993-04-02,9999-01-01,1985-04-02,1954-03-17
56873,Jaber,Delgrande,Technique Leader,1985-12-08,9999-01-01,1985-12-08,1954-10-06
56923,Djelloul,Zuberek,Senior Staff,1993-12-23,9999-01-01,1985-12-23,1955-08-04
56938,Thodoros,Flowers,Senior Staff,1993-12-10,9999-01-01,1985-12-10,1952-12-21
56950,Saeed,Edelhoff,Staff,1994-11-20,9999-01-01,1985-10-18,1954-01-16
56961,Guoxiang,Peyn,Staff,1997-05-07,9999-01-01,1985-06-01,1953-09-17
56985,Pranav,Bolotov,Senior Staff,1991-11-02,9999-01-01,1985-11-02,1952-04-05
57040,Arup,Lagarias,Senior Staff,1992-04-23,9999-01-01,1985-06-17,1955-10-21
57064,Arco,Serov,Senior Engineer,1990-11-26,9999-01-01,1985-07-10,1954-12-07
57068,Mari,Rabehasaina,Senior Engineer,1999-12-08,9999-01-01,1985-11-30,1954-04-09
57079,Shay,Rassart,Senior Engineer,1994-08-23,9999-01-01,1985-08-23,1953-04-14
57110,Gou,Stellhorn,Senior Staff,1992-05-24,9999-01-01,1985-05-24,1952-02-15
57211,Uta,Undy,Senior Engineer,1990-03-01,9999-01-01,1985-03-01,1953-07-09
57223,Danel,Copas,Engineer,2001-04-14,9999-01-01,1985-04-23,1954-06-10
57234,Junsik,Veldwijk,Senior Staff,1993-10-08,9999-01-01,1985-10-08,1952-07-18
57269,Tesuro,Berztiss,Senior Staff,1993-06-28,9999-01-01,1985-06-28,1953-01-06
57294,Sariel,Engelmann,Staff,2000-01-04,9999-01-01,1985-12-27,1954-12-23
57297,Tamiya,Benaini,Senior Staff,1994-02-24,9999-01-01,1985-02-24,1953-10-19
57373,Mabry,Zhiwei,Senior Staff,1990-04-29,9999-01-01,1985-10-27,1954-09-03
57464,Weidon,Benveniste,Senior Engineer,1986-04-23,9999-01-01,1985-02-16,1953-05-01
57472,Stepehn,Willoner,Technique Leader,1999-04-07,9999-01-01,1985-12-26,1952-11-30
57489,Jaihie,Benaini,Senior Engineer,1991-06-18,9999-01-01,1985-06-18,1953-07-30
57508,Muneo,Rousseau,Senior Staff,1994-04-30,9999-01-01,1985-04-30,1953-09-28
57524,Masamitsu,Chartres,Senior Staff,1986-02-21,9999-01-01,1985-09-20,1955-03-18
57525,Herbert,Dechter,Senior Staff,2000-10-23,9999-01-01,1985-02-23,1952-02-29
57532,Yannis,Cochrane,Senior Engineer,1990-11-29,9999-01-01,1985-11-29,1954-12-31
57596,Shigehito,Schahn,Senior Staff,2001-07-15,9999-01-01,1985-12-17,1954-12-30
57609,Greger,Casperson,Technique Leader,1996-03-15,9999-01-01,1985-11-19,1954-09-25
57612,Raimond,Rousseau,Senior Staff,1988-06-21,9999-01-01,1985-04-13,1954-07-24
57658,Maja,Bahk,Senior Staff,1995-09-14,9999-01-01,1985-05-02,1955-03-07
57664,Gladys,England,Senior Engineer,1991-09-18,9999-01-01,1985-09-18,1953-03-24
57672,Stevo,Peltason,Engineer,1997-12-30,9999-01-01,1985-09-06,1953-09-13
57706,Kolar,Quaggetto,Senior Staff,1997-07-14,9999-01-01,1985-03-30,1954-08-12
57716,Kristinn,Schmiedel,Senior Engineer,1994-12-12,9999-01-01,1985-12-12,1954-05-17
57751,Dulce,Maksimenko,Technique Leader,1985-06-05,9999-01-01,1985-06-05,1954-05-28
57768,Izaskun,Talmor,Senior Staff,1985-09-14,9999-01-01,1985-09-14,1952-07-31
57815,JiYoung,Munawer,Senior Staff,1989-01-14,9999-01-01,1985-11-11,1952-12-25
57847,Moon,Kornatzky,Senior Staff,1994-09-07,9999-01-01,1985-09-07,1953-09-30
57850,Ayakannu,Kawashima,Staff,1998-01-05,9999-01-01,1985-05-29,1954-06-02
57870,Yurii,Georgatos,Senior Engineer,1998-02-17,9999-01-01,1985-05-19,1955-12-10
57877,Brigham,Delgrande,Senior Engineer,1998-09-22,9999-01-01,1985-10-08,1954-02-05
57929,Gro,Debuse,Senior Engineer,1985-11-13,9999-01-01,1985-11-13,1955-01-16
57945,Tsvetan,Merlo,Senior Engineer,1997-05-08,9999-01-01,1985-12-06,1953-08-30
57980,Shay,Matheson,Senior Engineer,1991-04-29,9999-01-01,1985-04-29,1953-06-24
57990,Haldun,Buescher,Senior Engineer,1999-08-01,9999-01-01,1985-07-03,1953-08-19
58059,Behnaam,Zwicker,Senior Engineer,1991-06-20,9999-01-01,1985-08-21,1952-06-06
58102,Aiichiro,Erni,Technique Leader,1999-09-16,9999-01-01,1985-03-19,1955-01-09
58125,Xiaoshan,Cesareni,Senior Engineer,1998-01-18,9999-01-01,1985-05-30,1953-09-05
58201,Willard,Bashian,Senior Engineer,1992-08-30,9999-01-01,1985-08-30,1955-01-19
58231,Marjo,Pauthner,Senior Staff,1994-11-25,9999-01-01,1985-11-25,1953-06-13
58335,Chenye,Brodie,Senior Staff,1992-04-03,9999-01-01,1985-04-03,1955-03-15
58357,Djenana,Vecchi,Senior Engineer,1998-10-02,9999-01-01,1985-08-02,1952-11-07
58457,Yuping,Delaune,Technique Leader,1985-04-29,9999-01-01,1985-04-29,1952-07-13
58475,Angel,Chaudhury,Senior Engineer,2002-07-11,9999-01-01,1985-09-09,1955-11-23
58515,Radhia,Hertweck,Senior Staff,1994-08-31,9999-01-01,1985-06-22,1952-03-12
58518,Along,Perfilyeva,Senior Engineer,1990-10-31,9999-01-01,1985-10-31,1955-06-11
58541,Anneli,Pouyioutas,Staff,1997-02-08,9999-01-01,1985-03-31,1954-10-08
58567,Eric,Scallan,Senior Staff,1990-04-28,9999-01-01,1985-03-24,1953-11-09
58593,Hatsukazu,Petersohn,Senior Engineer,1992-05-19,9999-01-01,1985-05-19,1955-03-31
58678,Vivian,Zwicker,Senior Engineer,1990-11-15,9999-01-01,1985-11-15,1955-12-03
58696,Zsolt,Ruemmler,Senior Staff,1991-10-03,9999-01-01,1985-10-03,1954-08-03
58727,Junichi,Rullman,Senior Engineer,1990-06-15,9999-01-01,1985-06-15,1955-06-27
58735,Krassimir,Mayerwieser,Engineer,1999-06-02,9999-01-01,1985-04-20,1954-01-16
58825,JoAnna,Swist,Senior Staff,1985-07-01,9999-01-01,1985-07-01,1952-08-26
58836,Constantino,Rahimi,Senior Engineer,1993-12-27,9999-01-01,1985-12-27,1953-03-07
58837,Bowen,Waleschkowski,Senior Engineer,1990-06-01,9999-01-01,1985-06-01,1954-12-31
58934,Bouchung,Hardjono,Senior Engineer,1988-02-01,9999-01-01,1985-06-03,1954-04-11
58996,Sven,Dengi,Senior Engineer,1986-10-30,9999-01-01,1985-09-06,1952-08-25
59018,Marsal,Liesche,Senior Staff,1997-04-17,9999-01-01,1985-03-10,1952-12-25
59047,Jiong,Botman,Senior Engineer,1994-04-03,9999-01-01,1985-04-03,1954-05-05
59087,Shakhar,Erdmenger,Senior Staff,2001-07-10,9999-01-01,1985-09-29,1955-05-20
59107,Anneke,Constantine,Senior Engineer,1994-04-03,9999-01-01,1985-04-03,1952-07-31
59121,Quingbo,Trumbly,Senior Staff,1990-12-09,9999-01-01,1985-12-09,1955-02-16
59123,Margareta,Magalhaes,Senior Staff,1993-10-19,9999-01-01,1985-05-12,1953-12-30
59128,Jianwen,Lorho,Senior Engineer,1996-03-21,9999-01-01,1985-05-19,1952-05-23
59130,Mingsen,Baja,Engineer,2000-10-24,9999-01-01,1985-02-20,1952-03-12
59236,Siamak,Yurek,Senior Engineer,1994-12-18,9999-01-01,1985-08-02,1952-03-26
59295,Subbu,Ducloy,Senior Staff,1993-08-08,9999-01-01,1985-08-08,1953-02-09
59374,Zhaofang,Bardell,Senior Staff,1997-02-25,9999-01-01,1985-06-20,1954-12-14
59391,Qunsheng,Plessier,Senior Engineer,2002-02-07,9999-01-01,1985-07-08,1952-03-26
59400,Chinya,Giaccio,Senior Staff,1994-08-24,9999-01-01,1985-08-24,1952-10-27
59414,Yuping,Kolvik,Senior Staff,1990-08-03,9999-01-01,1985-08-03,1952-06-05
59530,Zhonghui,Ranon,Senior Staff,1986-10-06,9999-01-01,1985-05-16,1955-01-16
59537,Yefim,Pargaonkar,Senior Engineer,1987-05-23,9999-01-01,1985-02-06,1954-01-31
59611,Wanqing,Fraisse,Senior Staff,1993-05-08,9999-01-01,1985-05-08,1954-01-13
59649,Henk,Kavanagh,Senior Staff,1992-05-24,9999-01-01,1985-05-24,1954-08-28
59700,Arno,Leijenhorst,Senior Staff,1998-12-29,9999-01-01,1985-11-29,1953-09-03
59743,Zhenhua,Bakhtari,Senior Engineer,1995-04-10,9999-01-01,1985-12-25,1954-07-15
59764,Jeane,Wroclawski,Senior Engineer,2000-06-06,9999-01-01,1985-04-30,1952-03-07
59766,Ziyad,Nitsch,Senior Staff,1985-06-03,9999-01-01,1985-06-03,1955-06-05
59793,Jayson,Tibblin,Senior Staff,1994-03-25,9999-01-01,1985-03-25,1952-05-07
59859,Shunichi,Henseler,Senior Engineer,1994-07-10,9999-01-01,1985-07-10,1953-06-18
59891,Guttorm,Linnainmaa,Senior Engineer,1994-02-27,9999-01-01,1985-02-27,1955-05-30
59945,Leen,Kakkad,Senior Engineer,1998-12-30,9999-01-01,1985-02-16,1954-10-02
59986,Gererd,Yoshimura,Senior Engineer,1994-09-08,9999-01-01,1985-09-08,1953-11-14
60058,Qingxiang,Gulak,Engineer,1995-05-21,9999-01-01,1985-10-08,1954-03-24
60068,Giap,Plavsic,Engineer,1998-05-30,9999-01-01,1985-03-11,1952-03-26
60071,Sariel,Matheson,Senior Engineer,1985-09-26,9999-01-01,1985-09-26,1953-07-14
60083,Bojan,Cunliffe,Senior Staff,1998-09-07,9999-01-01,1985-10-30,1954-04-15
60115,Nathalie,Murillo,Senior Staff,1994-05-22,9999-01-01,1985-05-22,1954-07-08
60135,Theron,Tokunaga,Staff,1998-08-28,9999-01-01,1985-05-14,1953-07-09
60137,Stafford,Conti,Technique Leader,1993-05-25,9999-01-01,1985-03-30,1954-09-02
60152,Uma,Bashian,Senior Staff,1990-07-06,9999-01-01,1985-07-06,1953-04-17
60193,Sanjai,Gronowski,Technique Leader,1985-07-09,9999-01-01,1985-07-09,1953-01-20
60197,Harjit,Comellas,Senior Staff,1990-02-22,9999-01-01,1985-02-22,1953-02-28
60204,Giri,Macedo,Senior Engineer,1994-09-09,9999-01-01,1985-09-09,1954-11-06
60207,Koldo,Mahmud,Engineer,1996-12-24,9999-01-01,1985-08-06,1953-12-28
60217,Limsoon,Doering,Senior Staff,2000-03-20,9999-01-01,1985-12-07,1954-04-18
60260,Valdiodio,Czap,Senior Staff,1993-11-21,9999-01-01,1985-11-21,1955-05-22
60285,Nitsan,Coorg,Senior Engineer,1994-04-14,9999-01-01,1985-06-26,1953-11-20
60343,Munenori,Leppanen,Senior Staff,1996-08-13,9999-01-01,1985-08-16,1953-09-28
60412,Dharmaraja,Ranst,Senior Engineer,1999-11-18,9999-01-01,1985-03-16,1953-11-18
60442,Kwangsub,Hellwagner,Senior Engineer,1994-11-08,9999-01-01,1985-11-08,1952-12-08
60463,Sanjiv,Dredge,Senior Engineer,1995-03-25,9999-01-01,1985-05-28,1955-07-26
60469,Angel,Kampfer,Senior Staff,1991-05-01,9999-01-01,1985-05-01,1954-12-29
60488,Yakkov,Staylopatis,Senior Engineer,2002-07-27,9999-01-01,1985-03-03,1952-11-04
60490,Teiji,Steenbeek,Technique Leader,1995-04-12,9999-01-01,1985-06-07,1955-06-12
60501,Ranga,Badr,Senior Engineer,1993-02-04,9999-01-01,1985-02-04,1953-02-11
60695,Masanao,Papadias,Senior Staff,1994-04-30,9999-01-01,1985-05-16,1955-12-22
60697,Gritta,Cannata,Senior Staff,1995-04-13,9999-01-01,1985-09-15,1952-02-12
60705,Ekawit,Lorie,Senior Engineer,1985-11-24,9999-01-01,1985-11-24,1953-10-15
60742,Kristen,Juneja,Senior Engineer,1990-05-28,9999-01-01,1985-05-28,1952-02-29
60782,Janalee,Foote,Senior Engineer,1998-07-02,9999-01-01,1985-03-11,1953-06-13
60794,Sashi,Zlotek,Senior Staff,1993-07-20,9999-01-01,1985-02-21,1954-04-25
60817,Kousuke,Schaad,Senior Staff,1994-09-08,9999-01-01,1985-09-08,1954-08-28
60823,Kazuhiro,Parfitt,Senior Staff,1990-03-07,9999-01-01,1985-03-07,1953-07-10
60825,Berna,Nitto,Senior Staff,1998-07-27,9999-01-01,1985-06-20,1952-07-14
60831,Rildo,Peltason,Senior Engineer,1985-05-11,9999-01-01,1985-05-11,1954-01-18
60852,Keung,Schneeberger,Senior Staff,1986-07-25,9999-01-01,1985-09-12,1955-10-09
60865,Yuqun,Birge,Senior Engineer,1993-07-29,9999-01-01,1985-05-23,1954-09-20
60890,Fun,Schnabel,Engineer,1995-04-18,9999-01-01,1985-10-29,1952-07-20
60902,Dekang,Lung,Engineer,1999-03-08,9999-01-01,1985-07-01,1953-07-31
60904,Tomokazu,Gelosh,Staff,1998-03-01,9999-01-01,1985-08-01,1952-04-25
60991,Ung,Murthy,Senior Staff,1989-01-29,9999-01-01,1985-06-29,1955-05-02
60998,Neelam,Norsworthy,Senior Staff,1994-10-15,9999-01-01,1985-10-15,1952-04-19
61038,Suzette,Sifakis,Senior Engineer,1991-05-23,9999-01-01,1985-05-23,1955-04-30
61062,Parke,Champarnaud,Senior Engineer,1992-03-18,9999-01-01,1985-03-18,1954-07-02
61093,Kokou,Rettelbach,Technique Leader,1985-05-03,9999-01-01,1985-05-03,1955-03-21
61110,Lihong,Ghemri,Senior Engineer,1994-03-15,9999-01-01,1985-03-15,1953-04-01
61118,King,Erol,Senior Engineer,1990-04-14,9999-01-01,1985-04-14,1954-02-07
61210,Itzchak,Rehfuss,Senior Staff,1992-06-12,9999-01-01,1985-06-12,1952-06-29
61238,Kagan,Schach,Senior Staff,1991-02-15,9999-01-01,1985-02-15,1953-12-05
61353,Hausi,Conde,Senior Engineer,1985-10-25,9999-01-01,1985-10-25,1952-09-04
61362,Ayonca,Pietracaprina,Senior Engineer,1991-04-13,9999-01-01,1985-04-13,1955-10-04
61364,Gianluca,Casperson,Senior Engineer,1985-04-04,9999-01-01,1985-04-04,1952-07-11
61376,Guttorm,Skrikant,Senior Engineer,1993-07-04,9999-01-01,1985-07-04,1955-01-23
61399,Unal,Chinen,Senior Staff,1990-03-18,9999-01-01,1985-03-18,1952-07-27
61444,Geoff,Kaiserswerth,Senior Engineer,1996-01-19,9999-01-01,1985-07-30,1955-01-02
61539,Morris,Ghandeharizadeh,Senior Staff,1996-09-08,9999-01-01,1985-04-29,1953-09-19
61625,Shugo,Rajcani,Senior Engineer,1993-07-27,9999-01-01,1985-07-27,1955-05-28
61676,Valdiodio,Argence,Senior Engineer,1994-11-08,9999-01-01,1985-11-08,1952-05-24
61722,Oddvar,Wendorf,Senior Engineer,1995-03-30,9999-01-01,1985-03-30,1952-02-14
61732,Moie,Gini,Senior Engineer,1991-03-07,9999-01-01,1985-03-07,1954-08-22
61761,Aamer,Feinberg,Senior Staff,1999-11-03,9999-01-01,1985-08-21,1953-11-25
61780,Zhilian,Billingsley,Senior Engineer,1997-05-17,9999-01-01,1985-08-22,1952-11-01
61782,Guadalupe,Piancastelli,Senior Engineer,1998-06-20,9999-01-01,1985-09-03,1953-05-21
61869,Manu,Hemaspaandra,Senior Engineer,1998-10-03,9999-01-01,1985-05-28,1952-12-03
61910,Gay,Bahk,Senior Engineer,1990-03-30,9999-01-01,1985-03-30,1955-01-10
61920,Ghassan,Albarhamtoshy,Senior Staff,1993-03-19,9999-01-01,1985-03-19,1952-09-16
61941,Mohammed,Joslin,Senior Engineer,1997-11-15,9999-01-01,1985-05-16,1952-03-02
62069,Sugwoo,Felder,Senior Engineer,1985-05-31,9999-01-01,1985-05-31,1952-12-04
62080,Toshimo,Birjandi,Senior Staff,1991-05-03,9999-01-01,1985-05-03,1954-04-26
62103,Pranas,Reinhart,Senior Staff,1994-09-27,9999-01-01,1985-09-27,1954-12-04
62137,Rosalyn,Baalen,Senior Staff,1985-06-27,9999-01-01,1985-06-27,1954-09-09
62304,Kersti,Rusmann,Senior Engineer,1988-01-04,9999-01-01,1985-07-02,1952-11-15
62321,Kristine,Kroha,Senior Staff,1993-04-18,9999-01-01,1985-11-30,1955-09-28
62428,Guadalupe,Lortz,Senior Engineer,1994-05-17,9999-01-01,1985-05-17,1954-06-30
62459,Francoise,Shobatake,Senior Engineer,1992-04-16,9999-01-01,1985-04-16,1955-04-08
62566,Giap,Lipner,Senior Staff,1994-07-15,9999-01-01,1985-07-15,1953-09-24
62637,Danae,Assaf,Senior Staff,1994-11-12,9999-01-01,1985-08-10,1953-07-19
62642,Oddvar,Kushner,Senior Engineer,1996-12-22,9999-01-01,1985-10-04,1953-06-19
62650,Marjo,Asmuth,Senior Staff,1992-12-22,9999-01-01,1985-12-22,1953-07-05
62733,Kshitij,Kusakari,Senior Staff,1994-12-15,9999-01-01,1985-12-15,1953-03-21
62750,Achilleas,Lemarechal,Senior Staff,1995-06-24,9999-01-01,1985-08-26,1952-08-12
62793,Beshir,Klerer,Senior Engineer,1991-04-20,9999-01-01,1985-04-20,1952-03-08
62804,Emran,Bahr,Engineer,1996-08-15,9999-01-01,1985-06-07,1952-10-02
62841,Xiaoheng,Cesareni,Senior Staff,1994-12-10,9999-01-01,1985-09-14,1954-12-03
62859,Bernt,Wolniewicz,Senior Engineer,1992-09-13,9999-01-01,1985-11-11,1954-08-15
62906,Alselm,McFarlin,Senior Staff,1985-03-23,9999-01-01,1985-03-23,1953-04-24
62930,Fumiyo,Flanders,Senior Engineer,1990-04-18,9999-01-01,1985-04-18,1955-06-27
62985,Juichirou,Lipner,Senior Staff,1993-12-27,9999-01-01,1985-12-27,1953-03-22
63076,Goetz,Veccia,Engineer,1997-11-11,9999-01-01,1985-11-08,1954-06-22
63077,Hyuncheol,Escriba,Senior Engineer,2001-02-13,9999-01-01,1985-06-30,1953-10-23
63232,Vidya,Reghbati,Staff,1999-06-09,9999-01-01,1985-02-02,1955-06-11
63257,Elvis,Trogemann,Senior Staff,1990-11-01,9999-01-01,1985-11-01,1952-07-12
63269,Luerbio,Benzmuller,Senior Engineer,1994-02-26,9999-01-01,1985-02-26,1955-10-27
63288,Stella,Zolotykh,Senior Staff,1999-07-09,9999-01-01,1985-04-14,1953-06-03
63291,Subhrajyoti,Budinsky,Senior Staff,1994-03-01,9999-01-01,1985-03-01,1953-03-21
63341,Akeno,Peck,Senior Staff,1993-12-22,9999-01-01,1985-10-29,1953-08-07
63427,Takahito,Nooteboom,Senior Staff,1995-09-04,9999-01-01,1985-08-30,1955-08-04
63471,Filipp,Bael,Senior Engineer,1993-02-26,9999-01-01,1985-02-26,1952-08-19
63495,Mabry,Kleiser,Senior Engineer,1994-10-25,9999-01-01,1985-10-25,1954-06-02
63574,Insup,Leslie,Senior Engineer,1994-10-29,9999-01-01,1985-10-29,1953-10-05
63609,Martins,Lyonns,Senior Staff,1994-11-27,9999-01-01,1985-06-03,1955-02-18
63610,Gudjon,Rosiles,Senior Engineer,2000-01-20,9999-01-01,1985-02-08,1955-04-21
63681,Ferdinand,Zucker,Engineer,1999-06-13,9999-01-01,1985-09-07,1953-04-29
63688,Jouni,Spieker,Senior Staff,1992-09-19,9999-01-01,1985-09-19,1953-10-22
63740,Doohun,Lenart,Staff,1999-11-08,9999-01-01,1985-07-18,1955-03-15
63744,Shaw,Mitchem,Assistant Engineer,1996-04-04,9999-01-01,1985-07-10,1954-04-25
63922,Jixiang,Gischer,Senior Staff,1985-10-08,9999-01-01,1985-10-08,1955-06-14
64052,Hyuckchul,Stroustrup,Senior Engineer,1991-02-27,9999-01-01,1985-02-27,1953-10-09
64090,Uli,Gecseg,Senior Engineer,1992-09-17,9999-01-01,1985-09-17,1955-04-29
64093,Hyuckchul,Nishimukai,Senior Engineer,2001-01-24,9999-01-01,1985-10-23,1953-05-13
64119,Zorica,Brizzi,Engineer,2000-07-18,9999-01-01,1985-04-06,1952-11-29
64130,Yinghua,Merro,Senior Engineer,2001-08-14,9999-01-01,1985-08-14,1955-01-18
64136,Godehard,Lamba,Senior Engineer,1987-10-05,9999-01-01,1985-08-24,1952-06-11
64150,Noritoshi,Ghandeharizadeh,Senior Engineer,1991-02-03,9999-01-01,1985-02-03,1953-10-21
64179,Yongmin,Szemeredi,Senior Staff,2001-05-02,9999-01-01,1985-05-05,1952-08-19
64240,Goncalo,Hoppenstand,Senior Staff,1992-10-28,9999-01-01,1985-10-28,1955-07-01
64241,Vojin,Gilg,Senior Engineer,1994-03-20,9999-01-01,1985-03-20,1953-05-08
64310,Khatoun,Kossowski,Senior Engineer,1999-08-14,9999-01-01,1985-02-17,1953-05-18
64377,Along,Couchot,Senior Engineer,1999-08-26,9999-01-01,1985-12-07,1953-02-05
64398,Nectarios,Perna,Senior Staff,1985-02-03,9999-01-01,1985-02-03,1952-05-26
64450,Aran,Raney,Senior Engineer,2000-02-24,9999-01-01,1985-03-20,1955-03-31
64488,Jaana,Kandlur,Senior Engineer,1991-12-01,9999-01-01,1985-06-23,1955-07-04
64510,Sachio,Radwan,Senior Engineer,2001-05-12,9999-01-01,1985-05-12,1953-07-13
64526,Masoud,Uehara,Staff,1994-05-15,9999-01-01,1985-10-13,1955-06-17
64575,Pradeep,Sridhar,Senior Staff,1990-08-19,9999-01-01,1985-08-19,1952-02-04
